CategoryKey,OrdersCount,UniqueCustomers,TotalSales,AvgItemPrice,AvgDeliveryTime,DelayedOrders,LastUpdated
uncategorized,1627,1473,185049.7600000004,113.7367916410574,12.105101413644745,145,2025-03-21T13:50:36.708Z
art,209,202,24202.64,115.8021052631579,10.598086124401913,15,2025-03-21T13:50:36.708Z
flowers,33,29,1110.04,33.63757575757575,11.121212121212121,1,2025-03-21T13:50:36.708Z
home_construction,604,490,83088.12,137.56311258278146,12.96523178807947,49,2025-03-21T13:50:36.708Z
fashion_male_clothing,132,112,10797.820000000002,81.80166666666668,12.159090909090908,7,2025-03-21T13:50:36.708Z
kitchen_dining_laundry_garden_furniture,281,248,46328.36999999998,164.8696441281138,11.476868327402135,12,2025-03-21T13:50:36.708Z
small_appliances,679,630,190648.58000000013,280.7784683357881,10.374079528718704,39,2025-03-21T13:50:36.708Z
la_cuisine,14,13,2054.99,146.785,7.642857142857143,0,2025-03-21T13:50:36.708Z
bed_bath_table,11115,9417,1036988.679999986,93.29632748537885,12.550067476383266,920,2025-03-21T13:50:36.708Z
signaling_and_security,199,140,21509.23,108.08658291457286,10.316582914572864,11,2025-03-21T13:50:36.708Z
office_furniture,1691,1273,273960.70000000024,162.01105854523965,20.49024246008279,149,2025-03-21T13:50:36.708Z
computers,203,181,222963.13,1098.3405418719212,13.152709359605911,13,2025-03-21T13:50:36.708Z
watches_gifts,5991,5624,1205005.6799999946,201.13598397596303,12.28459355700217,485,2025-03-21T13:50:36.708Z
auto,4235,3897,592720.1100000002,139.95752302243216,11.857142857142858,343,2025-03-21T13:50:36.708Z
fashion_bags_accessories,2031,1864,152823.54000000033,75.24546528803562,10.76907927129493,124,2025-03-21T13:50:36.708Z
construction_tools_lights,304,244,41079.99999999999,135.1315789473684,9.56578947368421,30,2025-03-21T13:50:36.708Z
cool_stuff,3796,3632,635290.8500000006,167.35796891464713,12.036617492096944,251,2025-03-21T13:50:36.708Z
cds_dvds_musicals,14,12,730.0,52.142857142857146,10.571428571428571,0,2025-03-21T13:50:36.708Z
food,510,450,29393.409999999996,57.63413725490195,9.270588235294118,49,2025-03-21T13:50:36.708Z
computers_accessories,7827,6689,911954.3199999947,116.51390315574227,12.82087645330267,594,2025-03-21T13:50:36.708Z
perfumery,3419,3162,399124.8700000007,116.73731207955562,11.413278736472654,245,2025-03-21T13:50:36.708Z
pet_shop,1947,1710,214315.4100000005,110.07468412943015,11.021571648690292,118,2025-03-21T13:50:36.708Z
stationery,2517,2311,230943.23000000068,91.75336909018701,12.394517282479141,198,2025-03-21T13:50:36.708Z
furniture_decor,8334,6449,729762.4899999963,87.56449364050832,12.546316294696425,688,2025-03-21T13:50:36.708Z
drinks,379,297,22428.699999999986,59.17862796833769,9.804749340369392,20,2025-03-21T13:50:36.708Z
construction_tools_safety,194,167,40544.52,208.9923711340206,11.128865979381443,10,2025-03-21T13:50:36.708Z
telephony,4545,4199,323667.5300000001,71.2139779977998,12.447524752475248,369,2025-03-21T13:50:36.708Z
home_confort,434,397,58572.039999999964,134.95861751152066,13.294930875576037,44,2025-03-21T13:50:36.708Z
furniture_mattress_and_upholstery,38,38,4368.080000000001,114.94947368421055,14.0,5,2025-03-21T13:50:36.708Z
agro_industry_and_commerce,212,182,72530.47,342.12485849056606,11.226415094339623,9,2025-03-21T13:50:36.708Z
party_supplies,43,39,4485.18,104.30651162790699,8.906976744186046,2,2025-03-21T13:50:36.708Z
cine_photo,72,65,6933.460000000001,96.29805555555556,10.180555555555555,5,2025-03-21T13:50:36.708Z
books_technical,267,260,19096.059999999998,71.52082397003744,10.404494382022472,29,2025-03-21T13:50:36.708Z
home_appliances_2,238,234,113317.74,476.1249579831933,13.42436974789916,16,2025-03-21T13:50:36.708Z
music,38,38,6034.35,158.79868421052632,11.552631578947368,3,2025-03-21T13:50:36.708Z
costruction_tools_garden,238,194,25715.89,108.04995798319328,11.521008403361344,17,2025-03-21T13:50:36.708Z
christmas_supplies,153,128,8800.82,57.52169934640523,15.34640522875817,18,2025-03-21T13:50:36.708Z
audio,364,350,50688.499999999985,139.25412087912085,13.18956043956044,46,2025-03-21T13:50:36.708Z
fashio_female_clothing,48,39,2803.64,58.409166666666664,11.166666666666666,3,2025-03-21T13:50:36.708Z
air_conditioning,297,253,55024.959999999985,185.26922558922553,11.83838383838384,11,2025-03-21T13:50:36.708Z
market_place,311,280,28378.469999999998,91.24909967845659,11.871382636655948,13,2025-03-21T13:50:36.708Z
health_beauty,9670,8836,1258681.3399999875,130.16353050672052,11.643846949327818,858,2025-03-21T13:50:36.708Z
fashion_underwear_beach,131,121,9541.550000000001,72.83625954198475,13.16030534351145,16,2025-03-21T13:50:36.708Z
fashion_shoes,262,240,23562.770000000004,89.93423664122139,15.083969465648854,15,2025-03-21T13:50:36.708Z
housewares,6964,5884,632248.6599999988,90.78814761631229,10.579839172889145,441,2025-03-21T13:50:36.708Z
costruction_tools_tools,103,97,15903.95,154.40728155339806,12.067961165048544,6,2025-03-21T13:50:36.708Z
home_appliances,771,764,80171.52999999997,103.98382619974056,10.95201037613489,51,2025-03-21T13:50:36.708Z
furniture_living_room,503,422,68916.55999999995,137.01105367793232,13.540755467196819,39,2025-03-21T13:50:36.708Z
arts_and_craftmanship,24,23,1814.01,75.58375,5.666666666666667,2,2025-03-21T13:50:36.708Z
fixed_telephony,264,217,59583.0,225.6931818181818,12.208333333333334,11,2025-03-21T13:50:36.708Z
electronics,2767,2550,160246.74000000046,57.91353089989175,12.619082038308637,266,2025-03-21T13:50:36.708Z
diapers_and_hygiene,39,27,1567.5900000000001,40.19461538461539,10.051282051282051,1,2025-03-21T13:50:36.708Z
books_imported,60,53,4639.849999999999,77.33083333333333,7.516666666666667,2,2025-03-21T13:50:36.708Z
baby,3065,2885,411764.8900000007,134.3441729200655,12.087112561174552,262,2025-03-21T13:50:36.708Z
home_comfort_2,30,24,760.27,25.342333333333332,14.533333333333333,5,2025-03-21T13:50:36.708Z
fashion_childrens_clothes,8,8,569.85,71.23125,7.625,0,2025-03-21T13:50:36.708Z
luggage_accessories,1092,1034,140429.98000000019,128.59888278388294,10.457875457875458,58,2025-03-21T13:50:36.708Z
small_appliances_home_oven_and_coffee,76,75,47445.70999999999,624.2856578947367,9.368421052631579,5,2025-03-21T13:50:36.708Z
food_drink,278,227,15179.480000000003,54.60244604316548,10.424460431654676,17,2025-03-21T13:50:36.708Z
furniture_bedroom,109,95,20028.78,183.75027522935778,12.394495412844037,8,2025-03-21T13:50:36.708Z
tablets_printing_image,83,79,7528.410000000002,90.70373493975906,12.963855421686747,6,2025-03-21T13:50:36.708Z
fashion_sport,30,27,2119.5099999999998,70.65033333333332,11.366666666666667,2,2025-03-21T13:50:36.708Z
toys,4117,3886,483946.6000000001,117.54836045664321,11.366043235365558,299,2025-03-21T13:50:36.708Z
consoles_games,1137,1062,157465.22000000023,138.49183817062465,12.921723834652594,85,2025-03-21T13:50:36.708Z
garden_tools,4347,3518,485256.4600000004,111.63019553715216,13.395215090867264,340,2025-03-21T13:50:36.708Z
sports_leisure,8641,7720,988048.9699999914,114.34428538363515,11.763569031362112,625,2025-03-21T13:50:36.708Z
industry_commerce_and_business,268,235,39669.609999999986,148.02093283582084,10.477611940298507,20,2025-03-21T13:50:36.708Z
books_general_interest,553,512,46856.87999999996,84.7321518987341,11.162748643761303,35,2025-03-21T13:50:36.708Z
construction_tools_construction,929,748,144677.59000000005,155.7347578040905,10.479009687836383,74,2025-03-21T13:50:36.708Z
dvds_blu_ray,64,59,5999.390000000001,93.74046875000002,12.203125,4,2025-03-21T13:50:36.708Z
musical_instruments,680,628,191498.88000000018,281.61600000000027,12.33529411764706,56,2025-03-21T13:50:36.708Z
security_and_services,2,2,283.28999999999996,141.64499999999998,15.0,0,2025-03-21T13:50:36.708Z
