CustomerState,OrdersCount,UniqueCustomers,TotalSales,AvgItemPrice,AvgDeliveryTime,LastUpdated
SC,4176,3612,520553.3399999994,124.65357758620675,14.652298850574713,2025-03-21T13:50:41.542Z
RO,278,247,46140.63999999998,165.97352517985604,19.284172661870503,2025-03-21T13:50:41.542Z
PI,542,493,86914.07999999996,160.35808118081172,18.605166051660518,2025-03-21T13:50:41.542Z
AM,165,147,22356.839999999997,135.49599999999998,26.006060606060608,2025-03-21T13:50:41.542Z
RR,52,46,7829.43,150.56596153846155,24.807692307692307,2025-03-21T13:50:41.542Z
GO,2333,2007,294591.9500000004,126.27173167595389,14.943420488641234,2025-03-21T13:50:41.542Z
TO,315,279,49621.73999999999,157.5293333333333,17.104761904761904,2025-03-21T13:50:41.542Z
MT,1055,903,156453.5300000002,148.2971848341234,17.58483412322275,2025-03-21T13:50:41.542Z
SP,47449,41375,5202955.050000111,109.65362915973172,8.457396362410167,2025-03-21T13:50:41.542Z
ES,2256,2025,275037.3100000005,121.91370124113499,15.359485815602836,2025-03-21T13:50:41.542Z
PB,602,532,115268.08000000005,191.47521594684392,19.973421926910298,2025-03-21T13:50:41.542Z
RS,6235,5432,750304.019999996,120.33745308740913,14.87056936647955,2025-03-21T13:50:41.542Z
MS,819,709,116812.6400000001,142.62837606837618,15.2991452991453,2025-03-21T13:50:41.542Z
AL,444,411,80314.80999999995,180.8892117117116,23.472972972972972,2025-03-21T13:50:41.542Z
MG,13129,11544,1585308.029999994,120.74857414883037,11.712087744687333,2025-03-21T13:50:41.542Z
PA,1080,970,178947.8100000003,165.69241666666693,23.107407407407408,2025-03-21T13:50:41.542Z
BA,3799,3358,511349.9899999997,134.60120821268748,18.57594103711503,2025-03-21T13:50:41.542Z
SE,385,345,58920.84999999996,153.04116883116873,20.836363636363636,2025-03-21T13:50:41.542Z
PE,1806,1648,262788.0300000003,145.50832225913638,17.58582502768549,2025-03-21T13:50:41.542Z
CE,1478,1327,227254.7100000003,153.758261163735,20.150202976995942,2025-03-21T13:50:41.542Z
RN,529,482,83034.97999999998,156.96593572778823,18.965973534971646,2025-03-21T13:50:41.542Z
RJ,14579,12762,1824092.670000001,125.11781809451959,14.597366074490706,2025-03-21T13:50:41.542Z
MA,824,740,119648.22000000006,145.20415048543697,20.932038834951456,2025-03-21T13:50:41.542Z
AC,92,81,15982.949999999997,173.7277173913043,20.445652173913043,2025-03-21T13:50:41.542Z
DF,2406,2125,302603.9400000005,125.77054862842914,12.599334995843725,2025-03-21T13:50:41.542Z
PR,5740,4998,683083.7599999976,119.00413937282188,11.688675958188153,2025-03-21T13:50:41.542Z
AP,82,68,13474.300000000001,164.3207317073171,27.865853658536587,2025-03-21T13:50:41.542Z
